ind_3_digit,ind_3_digit_description,ind_2_digit,ind_2_digit_description
111,Farms,11," Agriculture, forestry, fishing and hunting"
112,Animal production and aquaculture,11,"Agriculture, forestry, fishing and hunting"
113, Forestry and logging,11," Agriculture, forestry, fishing and hunting"
114," Fishing, hunting and trapping",11," Agriculture, forestry, fishing and hunting"
115, Support activities for agriculture and forestry,11," Agriculture, forestry, fishing and hunting"
211, Oil and gas extraction,21," Mining, quarrying, and oil and gas extraction"
212, Mining and quarrying (except oil and gas),21," Mining, quarrying, and oil and gas extraction"
213, Support activities for mining and oil and gas extraction,21," Mining, quarrying, and oil and gas extraction"
221, Utilities,22, Utilities
236, Construction of buildings,23, Construction
237, Heavy and civil engineering construction,23, Construction
238, Specialty trade contractors,23, Construction
311, Food manufacturing,31,Manufacturing
312, Beverage and tobacco product manufacturing,31,Manufacturing
313, Textile mills,31,Manufacturing
314, Textile product mills,31,Manufacturing
315, Clothing manufacturing,31,Manufacturing
316, Leather and allied product manufacturing,31,Manufacturing
321, Wood product manufacturing,31,Manufacturing
322, Paper manufacturing,31,Manufacturing
323, Printing and related support activities,31,Manufacturing
324, Petroleum and coal products manufacturing,31,Manufacturing
325, Chemical manufacturing,31,Manufacturing
326, Plastics and rubber products manufacturing,31,Manufacturing
327, Non-metallic mineral product manufacturing,31,Manufacturing
331, Primary metal manufacturing,31,Manufacturing
332, Fabricated metal product manufacturing,31,Manufacturing
333, Machinery manufacturing,31,Manufacturing
334, Computer and electronic product manufacturing,31,Manufacturing
335," Electrical equipment, appliance and component manufacturing",31,Manufacturing
336, Transportation equipment manufacturing,31,Manufacturing
337, Furniture and related product manufacturing,31,Manufacturing
339, Miscellaneous manufacturing,31,Manufacturing
411, Farm product merchant wholesalers,41, Wholesale trade
412, Petroleum and petroleum product merchant wholesalers,41, Wholesale trade
413," Food, beverage and tobacco merchant wholesalers",41, Wholesale trade
414, Personal and household goods merchant wholesalers,41, Wholesale trade
415, Motor vehicle and motor vehicle parts and accessories merchant wholesalers,41, Wholesale trade
416, Building material and supplies merchant wholesalers,41, Wholesale trade
417," Machinery, equipment and supplies merchant wholesalers",41, Wholesale trade
418, Miscellaneous merchant wholesalers,41, Wholesale trade
419," Business-to-business electronic markets, and agents and brokers",41, Wholesale trade
441, Motor vehicle and parts dealers,44,Retail Trade
442, Furniture and home furnishings stores,44,Retail Trade
443, Electronics and appliance stores,44,Retail Trade
444, Building material and garden equipment and supplies dealers,44,Retail Trade
445, Food and beverage stores,44,Retail Trade
446, Health and personal care stores,44,Retail Trade
447, Gasoline stations,44,Retail Trade
448, Clothing and clothing accessories stores,44,Retail Trade
451," Sporting goods, hobby, book and music stores",44,Retail Trade
452, General merchandise stores,44,Retail Trade
453, Miscellaneous store retailers,44,Retail Trade
454, Non-store retailers,44,Retail Trade
481, Air transportation,48,Transportation and Warehousing
482, Rail transportation,48,Transportation and Warehousing
483, Water transportation,48,Transportation and Warehousing
484, Truck transportation,48,Transportation and Warehousing
485, Transit and ground passenger transportation,48,Transportation and Warehousing
486, Pipeline transportation,48,Transportation and Warehousing
487, Scenic and sightseeing transportation,48,Transportation and Warehousing
488, Support activities for transportation,48,Transportation and Warehousing
491, Postal service,48,Transportation and Warehousing
492, Couriers and messengers,48,Transportation and Warehousing
493, Warehousing and storage,48,Transportation and Warehousing
511, Publishing industries (except internet),51, Information and cultural industries
512, Motion picture and sound recording industries,51, Information and cultural industries
515, Broadcasting (except internet),51, Information and cultural industries
517, Telecommunications,51, Information and cultural industries
518," Data processing, hosting, and related services",51, Information and cultural industries
519, Other information services,51, Information and cultural industries
521, Monetary authorities - central bank,52, Finance and insurance
522, Credit intermediation and related activities,52, Finance and insurance
523," Securities, commodity contracts, and other financial investment and related activities",52, Finance and insurance
524, Insurance carriers and related activities,52, Finance and insurance
526, Funds and other financial vehicles,52, Finance and insurance
531, Real estate,53, Real estate and rental and leasing
532, Rental and leasing services,53, Real estate and rental and leasing
533, Lessors of non-financial intangible assets (except copyrighted works),53, Real estate and rental and leasing
541," Professional, scientific and technical services",54," Professional, scientific and technical services"
551, Management of companies and enterprises,55, Management of companies and enterprises
561, Administrative and support services,56," Administrative and support, waste management and remediation services"
562, Waste management and remediation services,56," Administrative and support, waste management and remediation services"
611, Educational services,61, Educational services
621, Ambulatory health care services,62, Health care and social assistance
622, Hospitals,62, Health care and social assistance
623, Nursing and residential care facilities,62, Health care and social assistance
624, Social assistance,62, Health care and social assistance
711," Performing arts, spectator sports and related industries",71," Arts, entertainment and recreation"
712, Heritage institutions,71," Arts, entertainment and recreation"
713," Amusement, gambling and recreation industries",71," Arts, entertainment and recreation"
721, Accommodation services,72, Accommodation and food services
722, Food services and drinking places,72, Accommodation and food services
811, Repair and maintenance,81, Other services (except public administration)
812, Personal and laundry services,81, Other services (except public administration)
813," Religious, grant-making, civic, and professional and similar organizations",81, Other services (except public administration)
814, Private households,81, Other services (except public administration)
911, Federal government public administration,91, Public administration
912, Provincial and territorial public administration,91, Public administration
913," Local, municipal and regional public administration",91, Public administration
914, Aboriginal public administration,91, Public administration
919, International and other extra-territorial public administration,91, Public administration
